iter	Passed	Remaining
893	10809	1281
894	10822	1269
895	10832	1257
896	10844	1245
897	10857	1233
898	10869	1221
899	10880	1208
900	10891	1196
901	10903	1184
902	10913	1172
903	10923	1159
904	10934	1147
905	10945	1135
906	10955	1123
907	10966	1111
908	10977	1098
909	10988	1086
910	11000	1074
911	11011	1062
912	11022	1050
913	11036	1038
914	11050	1026
915	11062	1014
916	11072	1002
917	11084	990
918	11096	978
919	11106	965
920	11117	953
921	11129	941
922	11140	929
923	11152	917
924	11163	905
925	11174	893
926	11185	880
927	11196	868
928	11207	856
929	11218	844
930	11229	832
931	11240	820
932	11250	807
933	11262	795
934	11274	783
935	11284	771
936	11297	759
937	11309	747
938	11319	735
939	11330	723
940	11342	711
941	11352	698
942	11362	686
943	11373	674
944	11384	662
945	11395	650
946	11405	638
947	11415	626
948	11427	614
949	11439	602
950	11450	590
951	11462	577
952	11475	565
953	11487	553
954	11498	541
955	11510	529
956	11522	517
957	11532	505
958	11545	493
959	11557	481
960	11568	469
961	11578	457
962	11591	445
963	11603	433
964	11614	421
965	11625	409
966	11637	397
967	11648	385
968	11659	373
969	11672	361
970	11684	348
971	11695	336
972	11706	324
973	11719	312
974	11730	300
975	11741	288
976	11754	276
977	11766	264
978	11779	252
979	11790	240
980	11806	228
981	11820	216
982	11831	204
983	11841	192
984	11854	180
985	11867	168
986	11878	156
987	11889	144
988	11902	132
989	11913	120
990	11924	108
991	11936	96
992	11950	84
993	11961	72
994	11973	60
995	11986	48
996	11998	36
997	12009	24
998	12019	12
999	12030	0
